Shipped,Wasted,Stockouts,% Waste,% Stockouts,Reward,item_nbr
43,20.0,0.0,46.51162790697674,0.0,-20.0,320682
68,39.0,0.0,57.35294117647059,0.0,-39.0,364606
27,0.0,12.0,0.0,44.44444444444444,-12.0,414353
26,8.0,0.0,30.76923076923077,0.0,-8.0,414750
20,18.0,0.0,90.0,0.0,-18.0,464374
55,13.0,0.0,23.636363636363637,0.0,-13.0,502331
37,31.57699966430664,0.0,85.3432423359639,0.0,-31.57699966430664,507969
22,3.0,0.0,13.636363636363635,0.0,-3.0,510054
22,0.0,1.0,0.0,4.545454545454546,-1.0,518091
53,17.0,0.0,32.075471698113205,0.0,-17.0,559870
25,0.0,6.0,0.0,24.0,-6.0,564287
33,20.0,0.0,60.60606060606061,0.0,-20.0,564533
22,8.0,0.0,36.36363636363637,0.0,-8.0,581078
55,24.0,0.0,43.63636363636363,0.0,-24.0,305080
60,44.10499954223633,0.0,73.50833257039388,0.0,-44.10499954223633,582864
53,51.0,0.0,96.22641509433963,0.0,-51.0,807493
26,1.0,0.0,3.8461538461538463,0.0,-1.0,621300
23,17.0,0.0,73.91304347826086,0.0,-17.0,115611
84,63.827999114990234,0.0,75.98571323213123,0.0,-63.827999114990234,584028
35,27.0,0.0,77.14285714285715,0.0,-27.0,364738
18,16.0,0.0,88.88888888888889,0.0,-16.0,410257
34,25.00899887084961,0.0,73.55587903191062,0.0,-25.00899887084961,457928
65,0.0,7.323997497558594,0.0,11.267688457782452,-7.323997497558594,584126
65,0.0,38.16600036621094,0.0,58.71692364032452,-38.16600036621094,587157
26,21.0,0.0,80.76923076923077,0.0,-21.0,1114566
116,0.0,125.0,0.0,107.75862068965519,-125.0,1167614
38,34.0,0.0,89.47368421052632,0.0,-34.0,1309297
38,0.0,69.0,0.0,181.57894736842107,-69.0,257847
106,85.0,0.0,80.18867924528303,0.0,-85.0,1473404
34,33.0,0.0,97.05882352941177,0.0,-33.0,1158720
23,22.0,0.0,95.65217391304348,0.0,-22.0,1066900
