Shipped,Wasted,Stockouts,% Waste,% Stockouts,Reward
122.0,89.0,8.0,72.95081967213115,6.557377049180328,-97.0
113.0,79.0,40.0,69.91150442477876,35.39823008849557,-119.0
714.0,490.0,0.0,68.62745098039215,0.0,-490.0
77.0,59.0,0.0,76.62337662337663,0.0,-59.0
103.0,47.0,15.0,45.63106796116505,14.563106796116504,-62.0
184.0,98.0,7.0,53.2608695652174,3.804347826086957,-105.0
70.0,62.0,0.0,88.57142857142857,0.0,-62.0
95.0,63.0,34.0,66.3157894736842,35.78947368421053,-97.0
240.0,71.0,118.0,29.58333333333333,49.16666666666666,-189.0
21.0,20.0,0.0,95.23809523809524,0.0,-20.0
195.0,118.0,73.0,60.51282051282051,37.43589743589744,-191.0
181.0,157.0,0.0,86.74033149171271,0.0,-157.0
193.0,69.0,0.0,35.751295336787564,0.0,-69.0
205.0,111.0,41.0,54.14634146341464,20.0,-152.0
96.0,61.0,0.0,63.54166666666666,0.0,-61.0
88.0,44.0,9.0,50.0,10.227272727272728,-53.0
376.0,352.0,0.0,93.61702127659576,0.0,-352.0
116.0,54.0,4.0,46.55172413793103,3.4482758620689653,-58.0
135.0,110.0,0.0,81.48148148148148,0.0,-110.0
121.0,54.0,69.0,44.62809917355372,57.02479338842975,-123.0
177.0,135.0,12.0,76.27118644067797,6.779661016949152,-147.0
484.0,234.0,82.0,48.34710743801653,16.94214876033058,-316.0
241.0,118.0,39.0,48.96265560165975,16.182572614107883,-157.0
244.0,168.0,0.0,68.85245901639344,0.0,-168.0
291.0,251.0,0.0,86.25429553264605,0.0,-251.0
322.0,144.0,39.0,44.72049689440994,12.111801242236025,-183.0
410.0,363.0,6.0,88.53658536585365,1.4634146341463417,-369.0
191.0,120.0,0.0,62.82722513089005,0.0,-120.0
191.0,146.0,0.0,76.43979057591623,0.0,-146.0
245.0,87.0,9.0,35.51020408163265,3.673469387755103,-96.0
112.0,84.0,0.0,75.0,0.0,-84.0
182.0,129.0,0.0,70.87912087912088,0.0,-129.0
614.0,423.0,0.0,68.89250814332247,0.0,-423.0
772.0,435.0,0.0,56.34715025906736,0.0,-435.0
214.0,141.0,0.0,65.88785046728972,0.0,-141.0
187.0319976806641,62.96800231933594,68.40899658203125,33.66696773824053,36.57609255654311,-131.3769989013672
367.0,281.0,0.0,76.566757493188,0.0,-281.0
301.0589904785156,235.3950042724609,23.746002197265625,78.18899674722033,7.887491471197304,-259.1410217285156
199.33799743652344,171.0,0.0,85.78394596065544,0.0,-171.0
636.1400146484375,506.5419921875,0.0,79.62743743882237,0.0,-506.5419921875
139.66500854492188,94.4739990234375,0.0,67.64328446165588,0.0,-94.4739990234375
226.93499755859372,149.11300659179688,13.679000854492188,65.70736475025033,6.027717629124314,-162.79200744628906
228.94500732421875,152.093994140625,12.93000030517578,66.43254461768552,5.647644583428307,-165.0240020751953
977.989013671875,636.0759887695312,0.0,65.03917527471745,0.0,-636.0759887695312
340.3100280761719,201.69000244140625,81.00000762939453,59.26654691358723,23.801828023493982,-282.69000244140625
254.0,172.0,62.0,67.71653543307087,24.40944881889764,-234.0
183.2040100097656,171.0,0.0,93.33856829382988,0.0,-171.0
304.3089904785156,231.91900634765625,0.0,76.21168404619641,0.0,-231.91900634765625
227.0,191.0,0.0,84.14096916299559,0.0,-191.0
260.40301513671875,95.30599975585938,24.39299774169922,36.59942251660224,9.367402189599158,-119.6989974975586
273.5679931640625,177.69601440429688,66.28799438476562,64.95497238148401,24.23090275221334,-243.9840087890625
206.91099548339844,150.79299926757812,0.0,72.87819524297686,0.0,-150.79299926757812
101.0,81.0,0.0,80.19801980198021,0.0,-81.0
144.0,52.0,6.0,36.11111111111111,4.166666666666666,-58.0
169.0,115.0,0.0,68.04733727810651,0.0,-115.0
123.0,46.0,19.0,37.39837398373984,15.447154471544716,-65.0
117.0,65.0,76.0,55.55555555555556,64.95726495726495,-141.0
200.0,136.0,48.0,68.0,24.0,-184.0
93.0,45.0,11.0,48.38709677419355,11.827956989247312,-56.0
308.0,171.0,50.0,55.51948051948053,16.233766233766232,-221.0
117.0,55.0,12.0,47.008547008547005,10.256410256410255,-67.0
238.0,148.0,0.0,62.18487394957983,0.0,-148.0
265.0,169.0,14.0,63.77358490566037,5.283018867924529,-183.0
125.0,53.0,15.0,42.4,12.0,-68.0
275.0,210.0,60.0,76.36363636363637,21.818181818181817,-270.0
270.0,200.0,0.0,74.07407407407408,0.0,-200.0
232.0,156.0,39.0,67.24137931034483,16.810344827586206,-195.0
128.0,95.0,0.0,74.21875,0.0,-95.0
136.0,58.0,15.0,42.64705882352941,11.029411764705882,-73.0
269.0,179.0,118.0,66.54275092936803,43.86617100371748,-297.0
184.99099731445312,152.2969970703125,0.0,82.32670739724355,0.0,-152.2969970703125
81.0,55.0,11.0,67.90123456790124,13.580246913580249,-66.0
224.0,141.0,0.0,62.94642857142857,0.0,-141.0
