Shipped,Wasted,Stockouts,% Waste,% Stockouts,Reward
84.0,39.0,0.0,46.42857142857143,0.0,-39.0
121.0,23.0,19.0,19.00826446280992,15.702479338842975,-42.0
395.0,157.0,59.0,39.74683544303797,14.936708860759492,-216.0
284.0,148.0,236.0,52.11267605633802,83.09859154929578,-384.0
157.0,52.0,16.0,33.12101910828025,10.191082802547772,-68.0
89.0,27.0,153.4409942626953,30.337078651685395,172.40561153111832,-180.4409942626953
185.5,86.4540023803711,86.30500030517578,46.60593120235638,46.52560663351794,-172.75900268554688
136.239990234375,86.95700073242188,15.42599868774414,63.82634099050425,11.322665732144168,-102.38300323486328
319.46600341796875,150.21600341796875,126.05599975585938,47.02096680423168,39.45834561649298,-276.2720031738281
81.94300079345703,35.05699920654297,14.575000762939451,42.78217647277349,17.786754966024183,-49.63200378417969
136.93499755859375,43.11299896240234,52.67900085449219,31.484280666784635,38.47007835374673,-95.79200744628906
107.0,52.125,39.83599853515625,48.71495327102804,37.22990517304323,-91.96099853515624
653.0369873046875,337.57098388671875,156.46800231933594,51.69247538029852,23.960052089106654,-494.03900146484375
120.0,28.0,124.0,23.33333333333333,103.33333333333334,-152.0
188.4720001220703,136.218994140625,3.113998413085937,72.27545420667163,1.6522339716610692,-139.3330078125
131.0,84.0,0.0,64.12213740458014,0.0,-84.0
180.5319976806641,8.177000045776367,76.97299194335938,4.529390994853079,42.6367585426678,-85.14999389648438
202.68800354003903,70.95199584960938,116.1679916381836,35.00552307507114,57.31369869417839,-187.11997985839844
135.88099670410156,79.08900451660156,15.296001434326172,58.2046102361378,11.256909947190918,-94.38500213623048
