Shipped,Wasted,Stockouts,% Waste,% Stockouts,Reward
94.0,65.0,15.0,69.14893617021278,15.95744680851064,-80.0
105.0,62.0,46.0,59.04761904761905,43.80952380952381,-108.0
383.0,206.0,163.0,53.78590078328982,42.55874673629243,-369.0
55.0,42.0,0.0,76.36363636363637,0.0,-42.0
91.0,22.0,13.0,24.17582417582417,14.285714285714285,-35.0
136.0,63.0,34.0,46.32352941176471,25.0,-97.0
51.0,42.0,0.0,82.35294117647058,0.0,-42.0
62.0,38.0,42.0,61.29032258064516,67.74193548387096,-80.0
158.0,42.0,179.0,26.58227848101265,113.29113924050634,-221.0
16.0,15.0,0.0,93.75,0.0,-15.0
97.0,26.0,123.0,26.804123711340207,126.8041237113402,-149.0
135.0,86.0,13.0,63.70370370370371,9.62962962962963,-99.0
158.0,9.0,25.0,5.69620253164557,15.822784810126585,-34.0
176.0,106.0,82.0,60.22727272727273,46.590909090909086,-188.0
67.0,32.0,9.0,47.76119402985074,13.432835820895525,-41.0
74.0,32.0,23.0,43.24324324324324,31.08108108108108,-55.0
1152.0,1121.0,0.0,97.3090277777778,0.0,-1121.0
92.0,33.0,18.0,35.869565217391305,19.565217391304348,-51.0
94.0,72.0,0.0,76.59574468085107,0.0,-72.0
82.0,29.0,99.0,35.36585365853659,120.73170731707316,-128.0
140.0,109.0,28.0,77.85714285714286,20.0,-137.0
291.0,159.0,170.0,54.63917525773196,58.4192439862543,-329.0
165.0,48.0,74.0,29.09090909090909,44.84848484848485,-122.0
129.0,68.0,49.0,52.71317829457365,37.98449612403101,-117.0
198.0,134.0,0.0,67.67676767676768,0.0,-134.0
179.0,51.0,117.0,28.49162011173184,65.36312849162012,-168.0
221.0,166.0,0.0,75.1131221719457,0.0,-166.0
137.0,81.0,51.0,59.12408759124088,37.22627737226277,-132.0
132.0,93.0,0.0,70.45454545454545,0.0,-93.0
156.0,52.0,56.0,33.33333333333333,35.8974358974359,-108.0
85.0,48.0,1.0,56.47058823529412,1.1764705882352942,-49.0
131.0,45.0,11.0,34.35114503816794,8.396946564885496,-56.0
452.0,179.0,33.0,39.60176991150443,7.300884955752212,-212.0
397.0,189.0,147.0,47.60705289672544,37.02770780856423,-336.0
195.0,106.0,0.0,54.35897435897436,0.0,-106.0
109.03199768066406,29.968000411987305,131.40899658203125,27.485509803973702,120.52333202855328,-161.3769989013672
235.0,157.0,32.0,66.80851063829788,13.617021276595745,-189.0
192.0,125.45399475097656,77.80500030517578,65.34062226613364,40.52343765894573,-203.2589874267578
156.19699096679688,87.0,13.763998031616213,55.69889628571255,8.811948262525783,-100.76399993896484
611.4660034179688,329.0140075683594,44.055999755859375,53.80740805363487,7.204979428062301,-373.0700073242188
94.49400329589844,37.147003173828125,1.6650009155273438,39.31149266425514,1.76201754339221,-38.81200408935547
164.93499755859375,73.56599426269531,46.67900085449219,44.60302261596162,28.3014530241887,-120.24501037597656
118.83599853515624,65.96099853515625,41.83599853515625,55.505906752357085,35.20481928948454,-107.7969970703125
694.7769775390625,362.2879943847656,92.72799682617188,52.14450191887608,13.34644063115324,-455.0159912109375
282.3099975585937,132.69000244140625,113.00000762939452,47.00152441957579,40.02692380950528,-245.69000244140625
178.0,44.0,75.0,24.719101123595504,42.13483146067416,-119.0
148.20401000976562,97.72899627685548,0.0,65.94220781908385,0.0,-97.72899627685548
297.3089904785156,208.22799682617188,0.0,70.03757151475007,0.0,-208.22799682617188
151.0,121.0,0.0,80.13245033112582,0.0,-121.0
187.70899963378903,21.29100227355957,67.08699798583984,11.342558063330612,35.739894260117126,-88.37800598144531
221.95199584960935,110.31200408935548,96.90399169921876,49.70083898867072,43.65988750327757,-207.21600341796875
136.88099670410156,71.08900451660156,18.29600143432617,51.93489690192431,13.36635608657717,-89.38500213623047
70.0,43.0,0.0,61.42857142857143,0.0,-43.0
112.0,33.0,30.0,29.464285714285715,26.785714285714285,-63.0
143.0,87.0,13.0,60.83916083916085,9.090909090909092,-100.0
93.0,19.0,30.0,20.43010752688172,32.25806451612903,-49.0
109.0,58.0,78.0,53.21100917431193,71.55963302752293,-136.0
179.0,51.0,52.0,28.49162011173184,29.05027932960894,-103.0
70.0,18.0,21.0,25.71428571428571,30.0,-39.0
179.0,81.0,104.0,45.2513966480447,58.10055865921788,-185.0
72.0,32.0,30.0,44.44444444444444,41.66666666666667,-62.0
165.0,42.0,0.0,25.454545454545453,0.0,-42.0
186.0,100.0,24.0,53.76344086021505,12.903225806451612,-124.0
96.0,26.0,33.0,27.08333333333333,34.375,-59.0
193.0,94.0,126.0,48.70466321243524,65.28497409326425,-220.0
221.0,87.0,0.0,39.36651583710408,0.0,-87.0
